,God Name,Title,Pantheon,Type,Class,Pros,Difficulty,Release Date,Favor,Gems,Voicelines,Voice Actor,Health,Health PL,Mana,Mana PL,Speed,Speed PL,Range,Range PL,Attack Apeed,Attack Speed PL,Basic Attack Damage,Basic Attack Damage PL,Basic Attack Scaling,Basic Attack Progression,Pysical Prot,Pysical Prot PL,Magical Prot,Magical Prot PL,HP5,HP5 PL,MP5,MP5 PL
83,Raijin,Master of Thunder, Japanese,"Ranged,Magical", Mage,"Pusher, High Mobility",Average,"February 16, 2016","5,500 ",200 ,Raijin voicelines,Ray Hurd,385,80,255,43,355,0,55,0,0.87,0.9%,34,1.5, 20% of Magical Power,None,9,3.1,30,0.9,6,0.45,4.6,0.46
84,Rama,Seventh Avatar of Vishnu, Hindu,"Ranged,Physical", Hunter,"High Mobility, High Attack Speed",Average,"June 24, 2014","5,500 ",200 ,Rama voicelines,Nick Landis,460,76,205,34,370,0,55,0,0.95,1.7%,40,2.5, 100% of Physical Power,None,12,2.8,30,0.9,8,0.65,4.5,0.25
85,Ratatoskr,The Sly Messenger, Norse,"Melee,Physical", Assassin,"Great Jungler, High Mobility",Easy,"June 2, 2015","5,500 ",200 ,Ratatoskr voicelines,Holly Franklin,420,73,240,41,375,0,12,0,1,2%,39,2.25, 100% of Physical Power,"1/0.5/0.5/1.25x damage and swing time, hitting in an AoE on the final blow",12,3,30,0.9,9,0.7,4.6,0.46
86,Ravana,Demon King of Lanka, Hindu,"Melee,Physical", Assassin,"High Single Target Damage, High Sustain",Average,"June 30, 2015","5,500 ",200 ,Ravana voicelines,Leo Fabian,400,75,230,35,370,0,12,0,1,1.7%,39,2.2, 100% of Physical Power,0.75/.5/1.25x damage,13,2.9,30,0.9,8,0.7,4.4,0.35
87,Scylla,Horror of the Deep, Greek,"Ranged,Magical", Mage,High Area Damage,Easy,"March 5, 2014","5,500 ",200 ,Scylla voicelines,Carrie Savage,365,75,298,56,355,0,55,0,1,0.8%,34,1.45, 20% of Magical Power,None,9,2.6,30,0.9,6,0.45,4.9,0.4
88,Serqet,Goddess of Venom, Egyptian,"Melee,Physical", Assassin,"High Single Target Damage, High Mobility",Average,"July 15, 2014","5,500 ",200 ,Serqet voicelines,Kristin Sutton,400,74,240,40,370,0,12,0,1,2.16%,39,2.25, 100% of Physical Power,1/.75/1.25x damage,14,2.9,30,0.9,9,0.7,4.3,0.29
89,Set,The Usurper, Egyptian,"Melee,Physical", Assassin,High Single Target Damage,Average,"April 30, 2019","5,500 ",200 ,Set voicelines,Chris Tergliafera,435,75,210,38,375,0,12,0,1,1.9%,39,2.3, 100% of Physical Power,None,13,2.9,30,0.9,9,0.7,4.2,0.38
90,Skadi,Goddess of Winter, Norse,"Ranged,Physical", Hunter,"High Crowd Control, Pusher",Hard,"March 15, 2016","5,500 ",200 ,Skadi voicelines,Martha Harms,470,78,220,35,375,0,55,0,0.95,1.6%,35,2.5, 100% of Physical Power,None,11,2.8,30,0.9,8,0.69,4.5,0.32
91,Sobek,God of the Nile, Egyptian,"Melee,Magical", Guardian,"High Crowd Control, High Defense",Easy,"May 31, 2012","5,500 ",200 ,Sobek voicelines,Brandon Potter,490,95,210,35,365,0,12,0,0.85,1.4%,38,1.5, 20% of Magical Power,None,19,3,30,0.9,6,0.75,4.5,0.43
92,Sol,Goddess of the Sun, Norse,"Ranged,Magical", Mage,"High Single Target Damage, High Mobility",Hard,"October 6, 2015","5,500 ",200 ,Sol voicelines,Jeannie Tirado,400,75,300,57,370,0,55,0,1,1.8%,34,1.45, 20% of Magical Power,None,9,2.6,30,0.9,6,0.45,4.9,0.4
93,Sun_Wukong,The Monkey King, Chinese,"Melee,Physical", Warrior,"High Defense, High Mobility",Average,"October 23, 2013","5,500 ",200 ,Sun Wukong voicelines,Sean Schemmel,480,85,205,35,370,0,12,0,1,0.9%,39,2, 100% of Physical Power,1/.75/1/1.25x damage,18,3,30,0.9,8,0.8,4.3,0.38
94,Susano,God of the Summer Storm, Japanese,"Melee,Physical", Assassin,"High Crowd Control, High Mobility",Hard,"May 10, 2016","5,500 ",200 ,Susano voicelines,Jim Foronda,435,76,225,38,370,0,12,0,1,2.16%,38,2.2, 100% of Physical Power,1/1/1.25x damage and swing time,14,2.9,30,0.9,9,0.7,4.2,0.27
95,Sylvanus,Keeper of the Wild, Roman,"Ranged,Magical", Guardian,"High Crowd Control, High Sustain",Average,"October 1, 2014","5,500 ",200 ,Sylvanus voicelines,Sylvanus: Bob ReedGrover: Christopher Sabat,510,90,190,34,365,0,40,0,0.85,0.6%,35,1.5, 20% of Magical Power,None,19,3,30,0.9,8,0.8,4.6,0.4
96,Terra,The Earth Mother, Roman,"Melee,Magical", Guardian,"High Sustain, High Area Damage",Hard,"August 2, 2016","5,500 ",200 ,Terra voicelines,Erica Lindbeck,500,95,200,35,365,0,12,0,0.9,1.4%,38,1.55, 20% of Magical Power,1/1/1/1x damage and swing time,20,3.2,30,0.9,8,0.8,4.6,0.4
97,Thanatos,Hand of Death, Greek,"Melee,Physical", Assassin,High Sustain,Average,"September 18, 2013","5,500 ",200 ,Thanatos voicelines,Scott Freeman,390,75,240,38,370,0,12,0,1,1.7%,39,2.3, 100% of Physical Power,"1/.75/1.5x damage and swing time, hitting in an AoE on the final blow",14,2.9,30,0.9,8,0.67,4.4,0.38
98,The_Morrigan,Phantom Queen, Celtic,"Ranged,Magical", Mage,High Area Damage,Very Hard,"January 10, 2017","5,500 ",200 ,The Morrigan voicelines,Elizabeth Maxwell,400,75,250,38,365,0,55,0,0.87,1%,34,2.4, 20% of Magical Power,1/1/1x damage and swing time; 3rd attack hits all enemies in a 10 unit area,12,3,30,0,10,0.7,4.5,0.4
99,Thor,God of Thunder, Norse,"Melee,Physical", Assassin,"High Single Target Damage, Medium Crowd Control",Hard,"September 6, 2012",(Free) 0 ,(Free) 0 ,Thor voicelines,Bruce DuBose,475,76,240,38,370,0,12,0,1,1.45%,39,2.4, 100% of Physical Power,None,14,2.9,30,0.9,9,0.69,4.4,0.29
100,Thoth,Arbiter of the Damned, Egyptian,"Ranged,Magical", Mage,High Area Damage,Average,"November 8, 2016","5,500 ",200 ,Thoth voicelines,Chris Guerrero,365,75,245,49,355,0,55,0,1,1.2%,32,1.5, 20% of Magical Power,None,9,2.6,30,0.9,6,0.45,4.6,0.44
101,Tsukuyomi,God of the Moon, Japanese,"Melee,Physical", Assassin,High Single Target Damage,Average,"August 11, 2020","5,500 ",200 ,Tsukuyomi voicelines,,455,78,205,35,375,0,12,0,1,1.3%,35,2.4, 100% of Physical Power,None,13,2.8,30,0.9,8,0.68,4.5,0.46
102,Tyr,The Lawgiver, Norse,"Melee,Physical", Warrior,"High Defense, Medium Crowd Control",Hard,"August 7, 2013","5,500 ",200 ,Tyr voicelines,Ian Sinclair,485,83,230,40,375,0,12,0,1,0.9%,39,2, 100% of Physical Power,1/.5/1.5x damage,18,3,30,0.9,8,0.72,4.4,0.29
103,Ullr,The Glorious One, Norse,"Ranged,Physical", Hunter,High Sustain,Hard,"March 19, 2014","5,500 ",200 ,Ullr voicelines,Bill Jenkins,480,80,230,40,360,0,55,0,0.95,1.5%,38,2.4, 100% of Physical Power,None,13,3,30,0.9,8,0.71,4.4,0.38
104,Vamana,Fifth Avatar of Vishnu, Hindu,"Melee,Physical", Warrior,"High Defense, High Sustain",Average,"May 31, 2012","5,500 ",200 ,Vamana voicelines,Sean Chiplock,490,88,200,39,375,0,12,0,0.9,1.4%,37,2, 100% of Physical Power,None,18,2.9,30,0.9,8,0.5,4.7,0.41
105,Vulcan,Smith of the Gods, Roman,"Ranged,Magical", Mage,"Pusher, High Area Damage",Average,"January 30, 2013","5,500 ",200 ,Vulcan voicelines,Rick Robertson,380,71,245,40,360,0,55,0,0.9,1.1%,34,1.5, 20% of Magical Power,None,13,3,30,0.9,7,0.48,4.8,0.45
106,Xbalanque,Hidden Jaguar Sun, Mayan,"Ranged,Physical", Hunter,"High Single Target Damage, Medium Area Damage",Average,"December 21, 2012","5,500 ",200 ,Xbalanque voicelines,Josh Grelle,455,75,220,37,365,0,55,0,0.95,1%,37,2.5, 100% of Physical Power,None,12,2.9,30,0.9,8,0.68,4.4,0.4
107,Xing_Tian,The Relentless, Chinese,"Melee,Magical", Guardian,High Crowd Control,Average,"September 1, 2015","5,500 ",200 ,Xing Tian voicelines,Leo Fabian,495,90,200,40,360,0,12,0,0.9,1.2%,35,1.55, 20% of Magical Power,1/1/1/1x damage and swing time,21,3.4,30,0.9,5,0.54,4.5,0.45
108,Yemoja,Goddess of Rivers, Yoruba,"Ranged,Magical", Guardian,High Sustain,Average,"October 15, 2019","5,500 ",200 ,Yemoja voicelines,Cassie Ewulu,490,95,0,0,365,0,55,0,1,1.2%,34,1.5, 20% of Magical Power,Projectile hits allies in a larger radius and passes through them,19,3,30,0.9,6,0.7,0,0
109,Ymir,Father of the Frost Giants, Norse,"Melee,Magical", Guardian,"High Crowd Control, High Defense",Easy,"May 31, 2012",(Free) 0 ,(Free) 0 ,Ymir voicelines,Charles Campbell,510,104,200,32,370,0,12,0,0.85,1.2%,38,1.55, 20% of Magical Power,None,23,3.3,30,0.9,8,0.9,4.5,0.4
110,Zeus,God of the Sky, Greek,"Ranged,Magical", Mage,High Area Damage,Average,"May 31, 2012","5,500 ",200 ,Zeus voicelines,Christopher Sabat,380,71,245,44,360,0,55,0,0.95,0.99%,35,1.5, 20% of Magical Power,None,8,2.7,30,0.9,6,0.45,4.6,0.45
111,Zhong_Kui,The Demon Queller, Chinese,"Ranged,Magical", Mage,"Medium Crowd Control, High Area Damage",Easy,"August 28, 2013","5,500 ",200 ,Zhong Kui voicelines,Daniel Penz,450,85,250,47,360,0,55,0,0.86,1%,33,1.5, 20% of Magical Power,None,8,2.6,30,0.9,6,0.44,4.8,0.45
